ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
74,با فتيله,فانوس صغير شمعته مصنوعة من القماش مغموسة في قاز,فانوس صغير شمعته مصنوعة من القماش مغموسة في قاز )،شمعة الكيروسين (.
75,البنص,قطعة قماش مستطيلة,هو قطعة قماش مستطيلة ،مخيطة بصورة بسيطة جدا ،يخيطون جهة من المستطيل مع بقاء الفتحة المخصصة للوجه ،ويخيطون بجهة أعلى الوجه قرنان أو خيطان لشد البنص بعد لبسه بما يشبه عصابة الرأس والبنص للمرأة غطاء الرأس حال الصلاة ،وتستمر العذراء بلبسه في البيت ،ولا تكاد تخلعه ،وتلبسه العجوز عند منامها كذلك.
76,ار,وحدة وزن حوالي 300 رطل,معيار مقياس وزن معروف وهو تقريباً ٣٠٠رطلاً.وغالبا ما يزن به التمر .
77,بقش,النقود والفلوس,بكسر الباء و فتح القاف ،بمعنى فلوس والنقود.
78,البرمه,نوع من القدور,نوع من القدور المستورة .
79,الباغ,قصر السلطان,قصر للسلطان في الغيل ،وهو شبيه بتاج محل الشهير في الهند .
80,بنه,عرض الإبهام حوالي 2سم,وهي عرض الإام حوالي ٢سم.
81,البيت,مخزن في الحصن,المخزن في الحصن ونحوه.
82,برقع,ما تحجب المرأة وجهها به,ما تحجب المرأة وجهها به ،ويختلف البرقع حسب كل منطقة في حضرموت .
83,بسط,الفطور,بفتح الباء ،بمعنى الفطور ،والمثل القائل):بسط بخسارة(.
84,البوري,رأس شيشة النارجيلة,هو رأس الرشبة أو الشيشة )النارجيلة( الذي يوضع فيه مادة التبغ أو المعسل عند المزِيز.
85,باصواب,مطر خفيف جدا,طشطشت المطر الصغير جداً ،المطر الخفيف .
86,باصيقع او الصقع,طائر يشبه الحمام,طائر مائل إلى لون الاخضرار ،لا يفر من الأصوات نظراً لضعف في سمعه ،من فصيلة الحمام ،شبيه بطائر العول.
87,بانه,مفتاح ربط الصواميل,مفتاح الصواميل
88,بسر,البلح المتلون قبل النضج,البلح وقد تلون بالحُمرة أو الصفْرة دون أن يتمِر بعد.
89,البنقلة و البناقل,كالفلل والاستراحات,هي كالفلل والاستراحات ،وهي أبنية يتفنون فيها ،وتكون غالبا في مناطق سهباء قريبة من المزارع ،وتكون مفردة غير متلاصقة ومتباعدة.
90,بقل,نبات مثل الجرجير,من البقوليات يأكل غالباَ مع وجبة الغذاء شبيه بالجرجير.
91,البد,بناء حجري بين الجرب والساقية,بناء حجري بين الجرب والساقية ،يتحكمون بواسطته بري الساقية ،حتى إذا امتلأ ردموه ،فيمنع الماء من خروجه من الساقية ،إذا نقص الماء وضعف وتوقف عن الجرب.
92,بركة,حوض مملوء بالماء,حوض مملوء بالماء ،إنما اقل عمقا من ) الجابية ( ،لا يتجاوز عمقه طول الساق تقريباً ،توجد في المساجد أيضاً .
93,البلاليط,معلاق خشبي للقربة,عبارة عن مِعلاق خشبي ،يستخدم لتعليق ) الشول ( قربة الماء .
94,بطال,شخص سيئ بذيء,بمعنى سيئ أو بذئ ،ويقال على الشخص):هذا إنسان بطّال( ،أي شخص سيء.
95,بازار,السوق,السوق.
96,البردلو,المخمل,المخمل.
97,البابور,موقد الجمر للطبخ,يستخدم لتسخين الأكل ،أو لعمل الشاهي البخاري المعروف ،حيث يوضع فيه الجمر ،وتوجد به فتحه في وسط البابور لزيادة اشتعال الجمر ،وكما يوجد به مقابض على أطراف )نموذج من البابور( البابور ليسهل حمله ونق
98,بنيه,البنت الفتاة,بتشديد الياء ،يعني البنت أو الفتاه.
99,بقعه,قطعة أرض,قطعة الأرض .
100,البوين,باب ضخم بين الأدوار,باب كبير ضخم ثقيل ،يفصل بين دورين ،فلو أن لصاً دخل البيت حجز ه ذلك الباب عن الدور التالي أو أبطأه من الهرب إلى الأسفل إن كان قد دلف من الأعلى.
101,بزغ,أقراط من الحلي,الأقراط من الحلي.
102,البيل,فاتورة الماء أو الكهرباء,فاتورة الماء او الكهرباء
103,بدعيدع,طائر له كيس في الحلق,طائر له كيس في الحلق ،منقاره طويل ولونه بني مع البياض.
104,بعد,أبعد,بمعنى أبعد ،والمثل القائل ) :بعد الرزق من طريق الرزق(
105,بغى -بغيت -بغاها,أراد,بمعنى أراد ،وبغيت بمعنى أردت ،وبغاها بمعنى أرادها.
106,بيسه,عمله معدنية من معدن الصفر,عمله معدنية من معدن الصفر ،وهي أقل من العانة.
107,بت,ذهب وراح,بمعنى ذهب وراح ،والمثل القائل):جاء كما يوم بت(
108,برع,خارج - برا,أي خارج ،وبرع الدار خارج الدار.
109,تقبع,تضرب في الوجه,تضرب ،وباتقْبع في الناظر أي باتضرب في الوجه.
110,تخلع,تزرع,تزرع ،والمثل القائل):إبن ولاتخلع(.
111,التخ,بقايا السمسم بعد عصر الزيت,بقايا السمسِم بعد إخراج مادته الزيتية ،والمثل القائل):بعير يعصر وبعير يأكل التخ.(
112,تبت,تذهب,تذهب ،وتبتبه يعني تذهبه ،ويقال وين باِتبِت أي يعني أين سوف تذهب.
113,تخب,يستتر ويختبئ,استتر ،ويتخبى يستتر ،متخبي مسستر.
114,تريض,تمهل وتأن,أي تمهل ،والراضه التأني في الأمور ،والمثل القائل):تريض ياجرد لاتعنكِر لك سقاية() ،والراضه من الرحمن( .
115,تحاذر,تستحي,بمعنى تستحي ،والمثل القائل):تحاذر الجمل وتظهر عالجمال(.
116,تركمه,علامة ظاهرة واضحة,علامه ظاهرة.
117,تاديه,تؤلمه وتوجعه,يا باحكم عبرِت باَختِم علي الحنجرة أي تؤلمه ،يقال):ركبته تاديه أو يده تاديه( ،أي تؤلمه وتوجعه.
118,تعين,انظر - تأمل,بتشديد التاء ،بمعنى انظُر والمثل القائل):لو باتحلِب البقْرة تعين في وجهها(.
119,تمام,موافق - كل شيء على ما يرام,أي للموافقة على الشي ،بمعنى )كل شي تمام( أي كل شي على ما يرام ،أو تم الأمر.
120,تان,أتان - أنثى الحمار,وهو التان أنثى الحمار ،أو الأتان ،تنطق بدون الألف)تان(.
121,تغبى,اختفى وتوارى,اختفى ،والمتغبي المختفي. تبا بمعنى تريد ،وهي كلمه كثير ما يستخدمها أهل البادية والمثل القائل):إن تيا الناس عبيدك رطب إيدك(.
122,التبل,التبن - قش القمح,تحل وتتنعم وتفسح في المصايب والذنوب. التبن ،وهو القش الناتج من مخلفات سيقان القمح) البر( المكسرة بعد دوامتها.
123,تياسير,مرحلة تركيب الشبابيك في البناء,مرحلة الوصول في البناء لموقع الشبابيك .
124,تعاشي,تصيح وتوبخ,تصيِح وتوبخ.
125,تاير,إطار السيارة,إطار العجلات في السيارة.
126,تقي,تسوي,بفتح التاء و شد القاف ،بمعنى تسوي ،مثلاً يقال):ليش تقّي كذا أو ليش أقّيت كذا( .
127,تفال,سفرة الطعام التقليدية,بكسر التاء ،بمعنى سفرة الطعام ،وهي السفرة التقليدية للطعام عند أهل حضرموت ،تصنع من سعف النخيل وهي عبارة عند دائرة مستوية الشكل ولها حواجز جانبية . )نموذج من التفال(
128,توله,مثقال - وحدة لوزن الذهب,مقياس وزن معروف ،يستخدم لوزن الذهب والفضة.
129,تصول,تجمع مياه الأمطار في الأرض,يقال تصول الأرض تجمع مياه الأمطار في الأرض.
130,تهاد,يتضاربون,بكسر التاء و فتح الهاء ،بمعنى تضارب ،وهده يعني مضاربه ،والمثل القائل : )يِهِد ويصِيِح( .
