ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
879,المشطه,ثاني يوم العرس,وهو ثاني يوم العرس ،ويكون العقد في نفس اليوم.
880,مسدرة الصغير,مسدرة حديث الولادة,مسدرة حديث الولادة ،عبارة عن ثوب بسيط يغمر بدنه ويخفي عورته ،ولها اكمام.
881,المناشي,السحب الناشية يتوقعون منها مطر,السحب الناشية يتوقعون منها مطر .
882,المزن,المطر الغزيرة,المطر الغزيرة.
883,المخدرة,مسرح من الخشب,مسرح من الخشب ،ينصب ليكون به الحفل الغنائي الساهر ،وهو أول ليلة من ليالي الزواج ،وعادة ما يجلس العريس إلى جوار الفرقة الموسيقية ويجلس بجانبه أهله وأقربائه ويتلقى التهاني والتبريكات من جموع الناس.
884,المصب,يستخدم في الحمام لأغراض الوضوء,يستخدم في الحمام لأغراض الوضوء ،ويسمى أيضاً القرقر.
885,المسدره,قميص يلبسه الرجل,قميص يلبسه الرجل.
886,المكحل,طير أسود,طير أسود.
887,المشخص,من الفضة,من الفضة ،زينة وإكسسوارات للمرأة.
888,المقلفات,التمر الخالي من نواة العلاجيم,التمر الخالي من نواة العلاجيم ،وهن نساء يجتمعن في بيت من يرغب في تجهيز تمره للرزم والتدحيق ويقمن بتنظيفه وفرزه ونزع القواذيف عنه ،وفلق الردي وإخراج النوى منه
889,المنظرة,المرآة,وهي المرآة.
890,مجمر,لحفظ الفحم المشتعل وللتبخير,لحفظ الفحم المشتعل وللتبخير.
891,المقود,أخدود يحفر في الأرض على شكل مدرج لمرور الساني والحيوان,أخدود يحفر في الأرض على شكل مدرج لمرور الساني والحيوان.
892,المسلف,باب صغير يقع في الغالب من خلف البيت,باب صغير يقع في الغالب من خلف البيت ،وهو يعتبر الباب الفرعي للبيت ، يقول المثل):إذا انقلد مسلف وأن انفتحت سِده(.
893,ميز,طاولة,طاوله.
894,المفلق,وشاح من الصوف طويل وغير عريض,هو وشاح من الصوف طويل وغير عريض ،يلف به الرأس أو يسدل على الكتفين.
895,المعداه,جسر من الأسمنت,جسر من الأسمنت ،أعمدته أسطوانية حتى لا تصد الأخشاب والأغصان المحمولة مع السيل ،وحتى لا يرتد الماء فيضغط على الاسوام ،جعلوها لكي تمر فوقها السيارات والناس و كل ممر للناس فوق السواقي هو معبرة
896,المرفاع,حبل يستعمل لفتح الباب بالشد عليه من داخل البيت,حبل يستعمل لفتح الباب بالشد عليه من داخل البيت.
897,المروس,السيل القادم من رؤوس الجبال والوديان,السيل القادم من رؤوس الجبال والوديان ،ويأتي من مكان بعيد فيطول جريانه يومين أو اكثر.
898,المقارب,السيل القادم من الشعاب القريبة,السيل القادم من الشعاب القريبة.
899,الماد,السيب,السيب ،أو الممر بين الغرف.
900,المضلعة,أحجار مرصوصة في مداخل الجروب,مجموعة من الأحجار الكبيرة المتراصة بفن ومهارة في الجرب في مداخل الجروب والسواقي ينظم خروج ودخول الماء ،وتسمى أحياناً في مناطق اخرى بالمناكي.
901,مرواح,غرفة صغيرة أعلى البيت,غرفة صغيرة أعلى البيت
902,المحضرة أو المحضر,الغرفة الكبيرة في الدار,الغرفة الكبيرة وتسمى عند البعض بالقعائد أو المكن وغيرها من التسميات، يقول الشاعر: قُربِت المرحلة وكثر كلام المحاضر )نموذجين من المحضرة(
903,المربشة,سله مصنوعة من سعف النخيل شأا شأن المروض,سلّه مصنوعة من سعف النخيل شأا شأن المروض ،ولكن أكثر خصوصية في نقل الطين أثناء البناء .
904,المعروضة,وضع المدرة بالعرض,وضع المدرة بالعرض ،وغالبا ما تكون في الحصون والدور الأسفل من البيت.
905,المدرة,الجمع مدر,الجمع مدر ،الطوب من اللبن يصنع من خلط الطين مع التبن وتجفيفه تحت الشمس لمدة لا تقل عن عشرة أيام أو حسب درجات حرارة الجو بمساحة ٤٥ ×٣٠سم وبسمك ٨سم تقريبا ،لغرض استعماله للبناء في حضرموت
906,المصناع,دولاب يثبت ضمن الجدار,دولاب يثبت ضمن الجدار.
907,الملس,طريقة من الطرق التي تستعمل فيها النورة داخل البيت,طريقة من الطرق التي تستعمل فيها النورة داخل البيت ،بحيث تغدو قطعة واحدة ناعمة الملمس بواسطة )الروك( .
908,مطوال,غرفة صغيرة بطول الممر الأسفل للبيت,غرفة صغيرة بطول الممر الأسفل للبيت.
909,المخوال,ويقابلها الدرنش وهي المكان الذي تقضى فيه الحاجة,ويقابلها )الدرنش( وهي المكان الذي تقضى فيه الحاجة .
910,ا لمحضه,قام بعملية تلييس البيت بالطين,محظ أي قام بعملية تلييس البيت بالطين.
911,المعلم,المعلم البناء,)نموذجين من المحضة( هو الذي تقع عليه مهمة البناء أو عمل النورة.
912,المخدم,المطبخ,المطبخ.
913,الم زياب,يقوم بمهمة الدش,يقوم بمهمة )الدش( ،يبنى في زاوية الحمام ويملأ بالماء وتترع السدادة من أسفله حين الاستحمام .
914,المقصد,الس الكبير الملحق بالبيت والمخصص للمناسبات والضيوف,الس الكبير الملحق بالبيت والمخصص للمناسبات والضيوف.
915,المشراف,فتحة في جدار الريم,فتحة في جدار ) الريم ( ،تستخدم لأغراض الرؤية ومعرفة من يدق الباب .
916,المقعد,الس الكبير الملحق بالبيت والمخصص للمناسبات والضيوف,الس الكبير الملحق بالبيت والمخصص للمناسبات والضيوف.
917,المعتن,بناء إضافي لتقوية البيت,مبنى إضافي معمد بالخشب لتقوية بعض أجزاء البيت الضعيفة والمهددة بالسقوط
918,المغلول,عبارة عن غرفة خالية من الخلاف النوافذ,عبارة عن غرفة خالية من الخلاف ) النوافذ ( ،شأا شأن المبرد .
919,المطيبخ,الفناء الذي قبل الطهارة,هو الفناء الذي قبل الطهارة .
920,مرهاه,حجر مستطيل الشكل يستخدم لطحن الذرة العالي,هي حجر مستطيل الشكل يستخدم لطحن الذرة العالي ،هي حجر ه حلزونية الشكل قطرها تقريبا من ١٠-٨سم متر وطولها ٣٥سم ،وتستخدم في طحن الذرة ،حيث توضع الذرة على المرهاه ثم يمر عليها العالي ذهابا وأياباً حتى تتم عملية الطحن.
921,الميسمة,غرفة تخزين في الضيقة أو السطح,عبارة عن غرفة تكون في بعض البيوت في الضيقة أو عند السطوح ،وهي تستخدم لأغراض التخزين أو للحطب.
922,المفقر,لفظة تطلق على الأبواب,لفظة تطلق على الأبواب.
923,مفلطح,مدور مثل رغيف الخبز,مدور أو مفطَّس يقال):وجهه مفلْطَح ، (أي مدور مثل رغيف الخبز.
924,المروض,بتسكين الراء وفتح الواو,بتسكين الراء وفتح الواو ،يأتي على شكل ) دلو ( غير انه مصنوع من )السعف( سعف النخيل ،يستخدم لأغراض حمل الأشياء ونقلها مثل التمر والسبول ،له استخداماته في نقل الطين أثناء البناء. )نموذجين من المروض(
925,المركز,اسم أديرة صغيرة النوافذ يقبع فيها العسك,وهو اسم أديرة صغيرة النوافذ يقبع فيها ) العسكر ( ،ويتناوبون للحراسة ،توجد على خشوم الجبال و من النواحي التي توقع مجئ الخصم منه ،وهذه التسمية في الوديان أما في حضرموت الداخل فتسمى بالكوت.
926,ملقن الدان,الملقن في حفلات الدان,وغالبا ما يكون من هو من بين الحضور ،سريع الحفظ وتلقف ما يقوله الشاعر وتلقينه المغني ،ولا يسمح لأحد بالكلام عند الغناء والشعر ،بل يسود الهدؤ والسكينة والإنصات.
927,النواغير,وجع شديد يصيب أماكن معينة من الظهر والصدر والأرداف,وجع شديد يصيب أماكن معينة من الظهر والصدر والأرداف ،سببه ريح غليظ أو تعب .
928,نصه,نصفه,أي نصفه ،والمثل القائل) :الأخضر ينقص نصه(.
929,نقحه,الضربة ،ونقحة الكور هي ضربة الكور,الضربة ،ونقحة الكور هي ضربة الكور .
930,النوره,مادة بيضاء تستخدم في طلاء المنازل من الداخل,مادة بيضاء تستخدم في طلاء المنازل من الداخل ،تستخرج من حرق الأحجار الجيرية تحت درجات حرارة عالية في ) الكير (.
931,نذقه,الرمي,بمعنى الرمي.
932,نقنقه,نميمه وإلحاح,نميمه وإلحاح ،والمثل القائل) :حبك ونقنق عليك(.
933,نكوس,إنحدار,إنحدار.
934,نوش,أرمي,بكسر الواو وتشديده ،بمعنى أرمي ،ونوش بالفتح بمعنى رمى ،يقول الشاعر : فزعان لا نوش بحذفه اتصيد وإلا ما اتصيد
935,النظف,حبل يستعمل لإبعاد الطيور,حبل يستعمل لإبعاد الطيور.
936,نيرة,فضيحة,فضيحة.
937,الندوه,الطل أو الندى,الطل أو الندى ،وهي عبارة عن قطرات من الماء.
938,النوش,اسم عملية هز وتحريك أغصان العلوب,اسم عملية هز وتحريك أغصان العلوب ،بقصد أخراج مادة الدوم.
939,الناموس,عزة النفس والكبرياء والكرامة,عزة النفس والكبرياء والكرامة .
940,النوخذه,ربان السفينة,ربان السفينة.
941,التنصورة,الهوكه وان كانت تردد عند القبائل بالتفاخر,بمعنى الهوكه وان كانت تردد عند القبائل بالتفاخر بنصر القبيلة حيث توضع الأيدي على رأس العريس من قبل أصدقائة وأهله وأفراد قبيلته والتغني ببعض
942,النفظة,صعقته,والكهرباء نفظته أي صعقته.
943,النقلاه,عزيمة العريسين من قبل أقارم في المناطق ااورة,عزيمة العريسين من قبل أقارم في المناطق ااورة.
944,النقبة,و النقاب ساتر الرأس للمرأة,و النقاب ساتر الرأس للمرأة ،وهي وشاح المرأة القطني الخفيف .وتكون ألوانه متعددة و ) سادة (.
945,حنا,نحن,بمعنى نحن أو إحنا ،وفي لهجة أخرى في الوادي يقلون) :إنحن(.
946,نخره,الأنف أو الخشم,بمعنى الأنف أو الخشم .
947,النوء,السحاب,السحاب ،والمثل القائل):ما معك نوء ترعد فيه(.
948,النشره,الحيوانات,الحيوانات ،وبالأخص منها الإبل والثيران والأبقار والأغنام .
949,النيلة,نبات يخرج منها مادة بيضاء تستعمل في الصباغة بالبياض,نبات يخرج منها مادة بيضاء تستعمل في الصباغة بالبياض.
950,النوب,النحل,النحل.
951,ني,ليس ناضح أو ناجح,ليس ناضح أو ناجح ،ومكن أن تستخدم صفه للإنسان فيقال ):انسان ني(.
952,النزح النزوحه,عملية اطلاع الماء من البئر,وهي عملية اطلاع الماء من البئر.
953,الننه,طائر البومة,طائر البومة. :وششخن .أنف :هنجُو .حجر الاستنجاء :لَهصالن .الجنبية
954,ويش,ماذا,أي ماذا ،يقال):ويش أسوي( ،أي ماذا أفعل.
955,وص,أرسله لقضاء حاجة,أرسله لقضاء حاجة.
956,الوطاء,المكان المعتدل أو المنخفض,المكان المعتدل أو المنخفض ،والمثل القائل):السيل يتبع الوطَاء(.
957,وخر,تنحى وابتعد,بتشديد الخاء ،أي تنحى وابتعد ،يتوخر من يتنح أو يبتعد من أو يجتنب من ويقال ) :وخر شوي ( أي ابتعد قليل ووخرته أي أبعدته .أما في اللهجات
958,الودف,السقف الذي يغطي الغرفة أو الس عند البناء,السقف الذي يغطي الغرفة أو الس عند البناء.
959,وحل,تحير وعجز,بمعنى تحير وعجز ،والوحله الحيرة والورطة والمشكلة.
960,الوضيع,المخزن في البيت,المخزن في البيت ،حيث توضع غلال المترل من أكل ونحوه.
961,واه,ماذا يقربلك,بمعنى ايش أو ماذا مثلاً :واه بغيت أي ماذا بغيت أو ايش بغيت أو كلمة واه يشكيلك أي ماذا يقربلك.
962,الوضر,الحجر الصغير,الحجر الصغير.
963,الوصر,جمع أوصار وآصار,بفتح الواو والصاد وراء ساكنة ،جمع أوصار وآصار ،قد يكون جانب البيت أو بجانب المزرعة وقد يطلق على الغرفة.
964,وراك,ماذا بك,أي ايش فيك أو ماذا بك فمثلاً يقال ):وراك اليوم( أي ماذا بك اليوم .
965,الوقاء,فراش النوم,فراش النوم ،عادة ما يكون مصنوع من القطن ) العطب ( .
966,وغم,الفقوز الصغير,الفقُّوز الصغير.
967,الوضعة,نبات شوكي اشواكه ممتلئة بالماء,نبات شوكي اشواكه ممتلئة بالماء ،تستخدم عصارته لعلاج المغص.
968,ولعاد,لا أو لا فائدة من الأمر أو من كذا,بمعنى لا أو لا فائدة من الأمر أو من كذا ،كقول الشاعر: ولعاد حاجه لكثر المشقَّه والنكد
969,وزرة,مثل الصارون,مثل الصارون ،تغطي النصف الأسفل من الجسم.
970,وعيه,بمعنى,بمعنى ،أدوات المطبخ .
971,وكد,للعزومة,بكسر الواو وكسر الكاف المشددة ) :يوكد للزواج ،للعزومة ،لامر معين ( يرسل دعوة لزواج أو وليمة أو اخبر الآخرين بأمر ما ،أشعرهم ،أكد عليهم الدعوة وثبتها ،وكَّد سيارة تشديد الكاف وفتحه :طلبها على حسابه ، حجزها لنفسه مسبقا ،و مثلها ) وكَّد غنم ( ) ،وكَّد عمال ( .
972,وياه,معه,و إياه :بمعنى معه ،وهي فصيحة .
973,وار,جمعها ورات يساويسم ويساوي أذرع قيدونية,جمعها ) ورات ( يساوي٩٠سم ويساوي ٧أذرع قيدونية .
974,ويشكم,كيف حالكم ،ومفردها ويشك,كيف حالكم ،ومفردها ويشك.
975,ونعم,تقال لثناء والإطراء,تقال لثناء والإطراء.
976,الوثن,ما يوضع فاصلا للحود الزراعية,ما يوضع فاصلاً للحود الزراعية ،والمثل القائل ):خلوه كما الوثن(.
977,وقع,صار,بمعنى صار.
978,ولفه,بكسر اللام,بتشديد اللام :عوده و ألَّفه و دجنه ،و)ولْفوه( ،بتسكين اللام ،اعتادوه )، ولِف على الأمر ( ،بكسر اللام ،نشأ و تربى عليه )،والف على التعب (، متعود عليه ومهيأ له ) ،والف على الطريق ( ألفها وأعتادها و عرف مسالكها من كثرة طرقه لها .
979,الهوش,الهجوم والاقتحام والسطو والسلب,الهجوم والاقتحام والسطو والسلب.
980,الهيج,البعير الفحل,البعير الفحل .
981,الهرش,الثعبان,الثعبان ،والمثل القائل) :الهرش ما ينقبض بذيلة(.
982,ا لهوكه,جمعها الهوك يهوك فلان وهي الصيحة المعروفة,جمعها الهوك ) يهوك فلان ( وهي الصيحة المعروفة ،وهو صوت عالي يحدثه بعض الناس إما في مناسبات الزواج أو مناسبات التزمل في إلقاء القصائد بالزواج ،وهي صرخات فيها تفاخر تبعا لكل قبيلة ،وتكون زامل في رقصة لعبة العدة.
983,الهندراب,المفتاح اليدوي,المفتاح اليدوي.
984,الهبيش,رقصة يصاحبه عزف المزمار محبب لدى أهل الباد,وهي رقصة يصاحبه عزف المزمار محبب لدى أهل البادية.
985,همله,وقت سقوط المطر,وقت سقوط المطر.
986,الهميم,السيل الكبير,السيل الكبير.
987,همباله,أداة خشبية تنتهي أطرافها برقاب الحمير,أداة خشبية تنتهي أطرافها برقاب الحمير ،ويكون وسطها )الحلي( وظيفتها هي حرث الأرض الزراعية.
988,الهش,مطر صغير,مطر صغير.
989,هداه -هندول,سرير الطفل أو المهد,سرير الطفل أو المهد ،والمثل القائل) :ضحك في الهداه(. )نموذجين من الهدأه(
990,هوري,صحن الرز بيضاوي الشكل,هو صحن الرز بيضاوي الشكل ،لكن الدائري نسميه صحن.
991,الهجري,تمر احمر يميل إلى الشقرة,تمر احمر يميل إلى الشقرة ،وبلحه لونه اصفر .
992,الهابطي,نوع من أنواع الرقص,نوع من أنواع الرقص.
993,يشرد,هرب,يهرب ،وشرد بمعنى هرب.
994,يهيض,يعجب,بتشديد الياء ،بمعنى يعجب.
995,يلقم,يأكل,أي يأكل ،ويقال) :يلْقَم الكلام( أي انه لا يفهم الكلام.
996,ينقع,يبلل,يعني يبلل ،يقال ):ينقع رأسه ( يعني يبلل رأسه.
997,يوه,لتلبية النداء عند النساء,لتلبية النداء عند النساء .
998,يرزح,يمشي أو يمشي ويضرب برجليه على الأرض بقوه,بمعنى يمشي أو يمشي ويضرب برجليه على الأرض بقوه ،دللالة على قوه المشي.
999,يحنبك,ينشبك,بتشديد النون مع كسر الحاء ،بمعنى ينشبك.
1000,يع,ليس محبب أو بمعنى أف,بمعنى ليس محبب أو بمعنى أف. يابوي،يابوياه يقال :عن التوجع أو التحسر أو عند القهر ويقال أيضاً):يابوياه( عن التحسر ، ويرفق ا كلمة منه بتشديد النون أو منها أو منك أو منكم.
1001,يئثث,ياسامع النمل لي يدوي بروس القور,ياسامع النمل لي يدوي بروس القور. يعني يؤثث الدار أو البيت والهمزة التي على الواو في اللهجة الحضرمية ،لاتنطبق دائماً .
1002,يساهن,ينتظر ومساهن منتظر والسهن الانتظار,ينتظر ومساهن منتظر والسهن الانتظار.
1003,يبرح,ينشر الغسيل,بتشديد الراء ،ينشر ويبرح الغسيل بمعنى ينشر الغسيل.
1004,يكعدر,يدحرج,يدحرج.
1005,يدمدم,يرعد أو صوت الرعد وصواعق,يرعد أو صوت الرعد وصواعق.
1006,يتفلقح,ينبطح على الأرض ويسقط,ينبطح على الأرض ويسقط.
1007,يهرج,يتحدث والهرج الحديث,يتحدث والهَرِج الحديث.
1008,تنف,يظهر غضب بإصدار صوت من انفه,يظهر غضب بإصدار صوت من انفه )،فلان ينف ( :يتكلم من طرف انفه ، يتحدث بعدوانية ورفض .
1009,يالخام,يقال للشخص كنوع من السب والقذف,يقال للشخص كنوع من السب والقّذف.
1010,يبرق,يلمع لمعانا شديدا,بضم الياء وسكون الباء وضم الراء ،أي يلمع لمعاناً شديداً.
1011,ينسدح,ينبطح في الأرض أو ينبسط أرضا,ينبطح في الأرض أو ينبسط أرضاَ.
1012,يفقش,يمزق أو يعمل خرق أو يفجر,يمزق أو يعمل خرق أو يفجر ،والمثل القائل ):جرذ يفقش جونية(.
1013,يغفل,يقول لإله إلا االله يا غافلين,يقول لإله إلا االله يا غافلين.
1014,يشكيلك,ماذا يقربلك,يسلم ألا ولد ما يخِمي الحوض يسلم أي يقربلك وتأتي دائماً عن طريق سؤال فمثلاً يقال):أيش يشكيلك( أي ماذا يقربلك.
1015,يام,لنداء ألام,لنداء ألام ،يا أمي ،يقال يمه :بذات المعنى ،وهي صرخة المفزوع فاجأه الأمر.
1016,اليكة,لون في ورق اللعب الكوتشينة,بتشديد الكاف ،هي الورقة الأولى من أي لون في ورق اللعب ) الكوتشينة (.
1017,يوم,تأتي بمعنى لأن,وهي تأتي بمعنى لأن ،يقول : شلو الحبيب الزين من شلّه *** شلّه الطمع ياوحلة الوحلة
1018,يطرح,يركض بسرعة,شلّه علي شلّه على أهله*** -يوم -الطمع قتّال بكسر و تخفيف الياء و فتح الطاء و كسر الراء مع التشديد ،بمعنى يركض بسرعة ،يقولون ):الدم يسيل طوارح ( أي يترل بسرعة ،و )السيل طارح( والمثل القائل) :اذا استكبرت أمر طرح مثناته( أي امشي بسرعة وبدون تردد بداخله.
1019,يحول,عند وصول السيل لأجل الناس يسمعونه,عند وصول السيل لأجل الناس يسمعونه ،ولتنبيه الناس لو لم يجد سلاح )بندق( عند قدوم السيل ويقول) :ياحول عموم( ،أو يقول) :حول ياحولاه( ،أو يحول ويذكر اسم الشعب أو الوادي.
1020,يرمح السيل,يشتد جريانه وضغطه,يشتد جريانه وضغطه .
1021,الينضال,الباذنجان,الباذنجان . يبرطُم تتغير تعابير وجهه ،بسبب عدم الرضاء او الزعل.
1022,يتمرقح,يتمشى بزهو دون أن يبالي بغيره,يتمشى بزهو دون أن يبالي بغيره.
1023,ينش,الذباب,لفظة لنهر الحيوانات والطيور وزجرها وإمالتها .يقال):ينِش الذُّبان من وجهه( أي الذباب )،ونشُّوا الاهرار من المطبخ( أي القطط.
1024,ينشغ,اسحبها بالسنارة واستخرجها من البحر,يسحب ،وتستعمل اللفظة في صيد السمك )بالسنارة( ،عدة صيد السمك ، حيث يقال ):نِشغْ السمكة( أي اسحبها بالسنارة واستخرجها من البحر.
1025,يولف,من التوليف,بتشديد اللام ،من التوليف ،يولَّف المكينة يصلحها بتجميع قطع غيار لها من هنا وهناك ،أو بخراطة القطعة البديلة إذا لم يجدها مناسبة .
1026,يولف,اعتاد على شرب القهوة,بفتح اللام ،يعتاد ،يقال) :يولَف في شرب القهوه( ،أي اعتاد على شرب القهوة ،ويقال ) :ولِف الحمام على المكان (،ألفه واستأمن فيه .
1027,يئلف,يخترع الحكايات والأكاذيب و القصص,يخترع الحكايات والأكاذيب و القصص ،يؤلف الكلام من خيالاته.
1028,يوديه,يذهب به يوصله ،ووداه ،ذهب به,يذهب به يوصله ،ووداه ،ذهب به.
1029,يدهل,يعتاد ويئلف,يعتاد ويئلف ،والدهلة ،التعود والألفة على الشيء وتكرارها ،والمثل القائل):الدهلة عِسرة(. الفهرس الموضوع الصفحة الإھداء المقدمة حرف الألف حرف الباء حرف التاء حرف الثاء حرف الجیم حرف الحاء حرف الخاء حرف الدال حرف الذال حرف الراء حرف الزاء حرف السین حرف الشین حرف الصاد حرف الطاء حرف الظاء حرف العین حرف الغین حرف الفاء حرف القاف حرف الكاف حرف اللام حرف النون حرف الواو حرف الھاء حرف الیاء ١٤-٦ ٢٢-٧ ٢٨-٢٣ ٢٩ ٣٢-٣٠ ٤٢-٣٣ ٤٩-٤٣ ٥٤-٥٠ ٥٦-٥٥ ٦١-٥٧ ٦٤-٦٢ ٧٢-٦٥ ٧٧-٧٣ ٨٤-٧٨ ٨٧-٨٥ ٨٨ ٩٦-٨٩ ٩٨-٩٧ ١٠١-٩٩ ١٠٨-١٠٢ ١١٥-١٠٩ ١٣٦-١١٦ ١٤٠-١٣٧ ١٤٤-١٤١ ١٤٦-١٤٥ ١٥٢-١٤٧
